SENARIO,ITEM_ID,COORDS
1,2,"35,85#60,10#15,15"
1,10,"5,5"
1,14,"75,15#55,35#15,45"
1,17,"35,5#35,45#35,65"
1,22,"53,55"
1,26,"2,90#62,92#90,5"
1,36,"55,75"
1,40,"58,20#75,50#90,60"
1,44,"35,35"
1,51,"90,75"
2,4,"5,2"
2,8,"3,10"
2,16,"15,5"
2,19,"55,35#35,25#35,55"
2,21,"35,15#55,15#85,15"
2,27,"55,45"
2,32,"35,85#85,75#20,45"
2,41,"55,55"
2,43,"20,70"
2,46,"90,85"
3,3,"55,55"
3,7,"25,45"
3,13,"65,15#35,85#75,75"
3,16,"45,25"
3,22,"70,35"
3,25,"10,25"
3,34,"55,85"
3,40,"75,25#90,55#95,25"
3,45,"25,55"
3,51,"35,10#50,45#40,60"
4,2,"20,36#50,75#85,85"
4,10,"45,25"
4,11,"75,75#58,48#85,12"
4,20,"32,75#35,45#15,55"
4,21,"5,25"
4,27,"50,65"
4,32,"85,35#55,85#60,25"
4,40,"75,25#90,55#95,25"
4,47,"25,60"
4,50,"55,5"
5,9,"95,25"
5,10,"5,5"
5,11,"35,65#75,25#15,15"
5,17,"35,5#35,45#35,65"
5,24,"65,45"
5,25,"25,35"
5,32,"35,85#85,75#15,15"
5,34,"45,75"
5,45,"85,75"
5,49,"75,75"
6,4,"5,5"
6,7,"95,75"
6,19,"55,35#35,25#35,55"
6,20,"75,65"
6,26,"55,85#15,95#10,90"
6,30,"45,25"
6,35,"55,95"
6,38,"95,25"
6,48,"50,50"
6,51,"20,50"
