EXP_ID,ITEM_ID,VALUE
26,2,61288
26,11,44090
26,20,46592
26,21,49093
26,27,46592
26,32,115072
26,40,61288
26,47,0
28,11,3
28,20,5
28,21,6
28,32,8
28,40,1
28,47,9
29,27,7
30,2,3
30,10,4
30,21,2
30,32,9
30,40,1
30,47,6
31,2,3
31,10,4
31,11,5
31,20,1
31,21,6
31,27,7
31,50,10
32,2,7
32,11,4
32,20,6
32,21,2
32,27,8
32,40,1
32,50,10
33,2,1
33,10,2
33,27,4
33,32,3
33,47,9
33,50,10
34,10,2
34,11,3
34,20,4
34,21,5
34,27,8
34,32,6
34,40,7
35,32,9
36,10,2
36,20,4
36,32,7
36,40,9
36,47,8
36,50,10
38,20,7
38,21,8
38,27,5
38,32,3
38,40,4
38,47,9
38,50,10
39,2,1
39,10,3
39,21,7
39,32,6
39,40,2
39,50,10
40,3,0
40,7,1
40,13,1
40,16,1
40,22,0
40,25,0
40,34,0
40,40,0
40,45,0
40,51,0
41,3,3
41,7,4
41,13,1
41,16,6
41,22,7
41,25,8
41,34,5
41,40,2
41,45,9
41,51,10
42,3,1
42,7,6
42,13,5
42,16,7
42,22,8
42,25,9
42,34,3
42,40,4
42,45,2
42,51,10
43,3,2
43,7,3
43,13,5
43,16,6
43,25,8
43,34,1
43,40,4
43,45,9
43,51,10
44,3,0
44,7,1
44,13,0
44,16,1
44,22,1
44,25,0
44,34,0
44,40,0
44,45,0
44,51,0
46,2,0
46,10,138999
46,11,200922
46,20,0
46,21,30962
46,27,129117
46,32,0
46,40,0
46,47,0
46,50,0
47,2,0
47,10,0
47,11,0
47,20,172474
47,21,91173
47,27,141115
47,32,95238
47,40,0
47,47,0
47,50,0
48,10,1
48,11,0
48,20,1
48,21,0
48,27,0
48,32,0
48,40,0
48,47,0
49,3,0
49,7,0
49,13,0
49,16,1
49,22,1
49,25,0
49,34,0
49,40,0
49,45,0
49,51,0
50,2,0-1
50,11,2-0
50,20,3-3
50,21,4-4
50,27,5-5
50,32,6-6
50,40,7-7
50,47,8-8
50,50,9-9
51,2,0-0
51,10,1-1
51,11,2-2
51,20,3-3
51,21,4-4
51,27,5-5
51,32,6-6
51,40,7-7
51,47,8-8
51,50,9-9
53,2,0
53,10,0
53,11,0
53,20,0
53,21,1
53,27,0
53,32,1
53,40,1
53,47,1
53,50,0
54,3,0
54,7,0
54,13,0
54,16,0
54,22,0
54,25,0
54,34,0
54,40,0
54,45,0
54,51,100
55,3,1
55,7,0
55,45,0
55,51,1
56,3,0-4
56,7,1-9
56,13,2-0
56,16,3-6
56,22,4-2
56,25,5-7
56,34,6-8
56,40,7-3
56,45,8-5
56,51,9-1
58,3,1
58,7,0
58,13,0
58,16,0
58,22,0
58,25,0
58,34,0
58,40,1
58,45,1
58,51,0
59,11,1
59,20,0
59,21,1
59,27,0
59,32,0
59,40,1
59,47,0
59,50,0
60,3,0-1
60,7,1-4
60,13,2-8
60,16,3-3
60,22,4-2
60,25,5-6
60,34,6-5
60,40,7-7
60,45,8-0
60,51,9-9
61,3,1
61,7,1
61,13,1
61,16,0
61,22,0
61,25,0
61,34,0
61,40,0
61,45,0
61,51,0
62,2,0
62,10,0
62,20,0
62,21,1
62,27,0
62,32,0
62,40,0
62,47,0
62,50,0
63,3,0
63,7,33
63,13,0
63,16,67
63,22,0
63,25,0
63,34,0
63,40,0
63,45,0
63,51,0
64,3,0
64,7,100
64,13,0
64,16,0
64,22,0
64,25,0
64,34,0
64,40,0
64,45,0
64,51,0
65,2,0
65,10,0
65,11,100
65,20,0
65,21,0
65,27,0
65,32,0
65,40,0
65,47,0
65,50,0
66,3,100
66,7,0
66,13,0
66,16,0
66,22,0
66,25,0
66,34,0
66,40,0
66,45,0
66,51,0
67,3,0
67,7,0
67,13,0
67,16,0
67,22,0
67,25,0
67,34,100
67,40,0
67,45,0
67,51,0
68,2,0
68,10,0
68,11,1
68,20,0
68,21,0
68,27,0
68,32,0
68,40,0
68,47,0
68,50,0
69,2,0
69,10,0
69,11,1
69,20,0
69,21,1
69,27,0
69,32,0
69,40,0
69,47,0
69,50,0
71,3,0
71,7,0
71,13,1
71,16,0
71,22,1
71,25,0
71,40,1
71,45,0
71,51,0
72,2,0
72,10,0
72,11,0
72,20,0
72,21,0
72,27,1
72,32,1
72,40,1
72,47,0
72,50,0
73,3,1
73,7,0
73,13,0
73,16,1
73,22,0
73,25,0
73,34,0
73,40,1
73,45,0
73,51,0
74,2,0-0
74,10,1-5
74,11,2-1
74,20,3-2
74,21,4-4
74,27,5-6
74,32,6-7
74,40,7-8
74,47,8-3
74,50,9-9
75,2,0
75,10,0
75,11,1
75,20,0
75,21,0
75,27,0
75,32,0
75,40,0
75,47,0
75,50,0
76,3,0
76,45,0
76,51,0
77,3,1
77,7,0
77,13,0
77,16,0
77,22,0
77,25,0
77,34,0
77,40,0
77,45,0
77,51,0
78,2,1
78,10,0
78,11,0
78,20,0
78,21,0
78,27,0
78,32,0
78,40,0
78,47,0
78,50,0
79,2,0
79,10,0
79,11,0
79,20,0
79,32,0
79,40,0
79,47,0
79,50,1
80,2,0
80,10,0
80,14,0
80,17,0
80,22,0
80,26,100
80,36,0
80,40,0
80,44,0
80,51,0
81,2,1
81,10,0
81,11,0
81,20,0
81,21,0
81,27,1
81,32,0
81,40,0
81,47,0
81,50,0
82,3,0
82,7,1
82,13,0
82,16,1
82,22,0
82,25,0
82,34,0
82,40,0
82,45,0
82,51,0
83,7,1
83,13,0
83,16,0
83,25,0
83,40,1
83,45,0
83,51,1
84,2,0
84,10,0
84,14,0
84,17,1
84,22,0
84,26,1
84,36,0
84,40,0
84,44,0
84,51,0
85,2,0
85,10,1
85,11,0
85,20,0
85,21,0
85,27,1
85,32,0
85,40,0
85,47,0
85,50,0
86,3,0
86,7,0
86,13,0
86,16,0
86,22,1
86,25,0
86,34,0
86,40,0
86,45,0
86,51,1
87,2,0
87,10,0
87,14,0
87,17,0
87,22,0
87,26,0
87,36,0
87,40,0
87,44,1
87,51,1
88,2,1
88,10,0
88,11,0
88,20,0
88,21,0
88,27,0
88,32,0
88,40,0
88,50,0
89,3,0
89,7,1
89,13,0
89,16,0
89,22,0
89,25,0
89,34,0
89,40,0
89,45,0
89,51,0
90,7,1
90,13,0
90,16,0
90,22,1
90,25,0
90,34,0
90,40,0
90,45,0
90,51,0
